t,h_t,e,d
1595588709.8047333,2020-07-24 14:05:09.804716,32.2366,27.8779
1595588773.4109704,2020-07-24 14:06:13.410954,32.2366,27.8779
1595588836.7744193,2020-07-24 14:07:16.774403,32.2366,27.8779
1595588901.546643,2020-07-24 14:08:21.546627,32.2366,27.8779
1595588965.0318055,2020-07-24 14:09:25.031790,32.2366,27.8779
1595589028.6318383,2020-07-24 14:10:28.631822,32.2366,27.8779
1595589092.1296332,2020-07-24 14:11:32.129617,32.2366,27.8779
1595589156.217856,2020-07-24 14:12:36.217839,32.2366,27.8779
1595589220.1494968,2020-07-24 14:13:40.149480,32.2366,27.8779
1595589283.8955925,2020-07-24 14:14:43.895577,32.2366,27.8779
1595589347.5205524,2020-07-24 14:15:47.520536,32.2366,27.8779
1595589410.9734886,2020-07-24 14:16:50.973472,32.2366,27.8779
1595589475.2447994,2020-07-24 14:17:55.244783,32.2366,27.8779
1595589538.9415977,2020-07-24 14:18:58.941581,32.2366,27.8779
1595589602.9737859,2020-07-24 14:20:02.973771,32.2366,27.8779
1595589667.0042274,2020-07-24 14:21:07.004211,32.2366,27.8779
1595589730.5764294,2020-07-24 14:22:10.576413,32.2366,27.8779
1595589794.1140676,2020-07-24 14:23:14.114051,32.2366,27.8779
1595589858.299634,2020-07-24 14:24:18.299618,32.2366,27.8779
1595589922.4951537,2020-07-24 14:25:22.495138,32.2366,27.8779
1595589985.9658418,2020-07-24 14:26:25.965826,32.2366,27.8779
1595590050.3376353,2020-07-24 14:27:30.337620,32.2366,27.8779
1595590113.9948792,2020-07-24 14:28:33.994864,32.2366,27.8779
1595590177.5942402,2020-07-24 14:29:37.594225,32.2366,27.8779
1595590241.0740154,2020-07-24 14:30:41.074000,32.2366,27.8779
1595590304.9167092,2020-07-24 14:31:44.916693,32.2366,27.8779
1595590368.314771,2020-07-24 14:32:48.314755,32.2366,27.8779
1595590431.7773275,2020-07-24 14:33:51.777311,32.2366,27.8779
1595590495.346201,2020-07-24 14:34:55.346185,32.2366,27.8779
1595590559.0919824,2020-07-24 14:35:59.091967,32.2366,27.8779
1595590623.4041986,2020-07-24 14:37:03.404183,32.2366,27.8779
1595590686.9648802,2020-07-24 14:38:06.964864,32.2366,27.8779
1595590750.705525,2020-07-24 14:39:10.705509,32.2366,27.8779
1595590814.4342523,2020-07-24 14:40:14.434235,32.2366,27.8779
1595590878.105641,2020-07-24 14:41:18.105626,32.2366,27.8779
